scale,log_x,MI_cramer,MI_hardy_littlewood,MI_empirical,MI_sieve_contribution,H1_empirical,H1_predicted
10000,14.090962,0.000000,0.211806,0.339274,0.339274,4.035069,3.816698
100000,14.176847,0.000000,0.211465,0.338030,0.338030,4.053463,3.825465
1000000,14.704468,0.000000,0.209306,0.335175,0.335175,4.127729,3.878183
10000000,16.268009,0.000000,0.204321,0.328948,0.328948,4.288536,4.023966
100000000,18.438955,0.000000,0.199513,0.322432,0.322432,4.481487,4.204685
